mode,n,time_ns,result
iter,161,2625,324
iter,161,2386,324
iter,161,2083,324
iter,161,2258,324
iter,161,2088,324
iter,161,2162,324
iter,161,2090,324
iter,161,2158,324
iter,161,2260,324
iter,161,2093,324
iter,181,2826,364
iter,181,1998,364
iter,181,2198,364
iter,181,1948,364
iter,181,2391,364
iter,181,2039,364
iter,181,2085,364
iter,181,2183,364
iter,181,2205,364
iter,181,2028,364
iter,181,2099,364
iter,181,2660,364
iter,181,1969,364
iter,181,1984,364
iter,181,2111,364
iter,181,2224,364
iter,181,2147,364
iter,181,2145,364
iter,181,2178,364
iter,181,2414,364
iter,181,2080,364
iter,181,2004,364
iter,181,2177,364
iter,181,2270,364
iter,181,2107,364
iter,181,2141,364
iter,181,2426,364
iter,181,2108,364
iter,181,1920,364
iter,181,2190,364
iter,181,2073,364
iter,181,2178,364
iter,181,2172,364
iter,181,1996,364
iter,181,1958,364
iter,181,2063,364
iter,181,2086,364
iter,181,2096,364
iter,181,2057,364
iter,181,2109,364
iter,181,2196,364
iter,181,2132,364
iter,181,2013,364
iter,181,2118,364
iter,181,2211,364
iter,181,2044,364
iter,181,2075,364
iter,181,2113,364
iter,181,2145,364
iter,181,2229,364
iter,181,2115,364
iter,181,2147,364
iter,181,2737,364
iter,181,2118,364
iter,181,2255,364
iter,181,2107,364
iter,181,2265,364
iter,181,2467,364
iter,181,2086,364
iter,181,2220,364
iter,181,2156,364
iter,181,2167,364
iter,181,2109,364
iter,181,2031,364
iter,181,1940,364
iter,181,2012,364
iter,181,2064,364
iter,181,2213,364
iter,181,2170,364
iter,181,2150,364
iter,181,2137,364
iter,181,1912,364
iter,181,2008,364
iter,181,1921,364
iter,181,2086,364
iter,181,2047,364
iter,181,2229,364
iter,181,2142,364
iter,181,2042,364
iter,181,2891,364
iter,181,2099,364
iter,181,2014,364
iter,181,2163,364
iter,181,3060,364
iter,181,2177,364
iter,181,2198,364
iter,181,2350,364
iter,181,2290,364
iter,181,2036,364
iter,181,2171,364
iter,181,1872,364
iter,181,2157,364
iter,181,2348,364
iter,181,2114,364
iter,181,2090,364
iter,181,2099,364
iter,181,1906,364
iter,181,1880,364
iter,181,1967,364
iter,181,2007,364
iter,201,2276,404
iter,201,2198,404
iter,201,1971,404
iter,201,2117,404
iter,201,2180,404
iter,201,2285,404
iter,201,2251,404
iter,201,2785,404
iter,201,2015,404
iter,201,2166,404
iter,201,2184,404
iter,201,2200,404
iter,201,2628,404
iter,201,2161,404
iter,201,2387,404
iter,201,2599,404
iter,201,2430,404
iter,201,2414,404
iter,201,2209,404
iter,201,2153,404
iter,201,2191,404
iter,201,2596,404
iter,201,2205,404
iter,201,2129,404
iter,201,2066,404
iter,201,2062,404
iter,201,2247,404
iter,201,2112,404
iter,201,1960,404
iter,201,2337,404
iter,201,2190,404
iter,201,2237,404
iter,201,2153,404
iter,201,2014,404
iter,201,2234,404
iter,201,2216,404
iter,201,3119,404
iter,201,2200,404
iter,201,2078,404
iter,201,2257,404
iter,201,2145,404
iter,201,2388,404
iter,201,2068,404
iter,201,2053,404
iter,201,2198,404
iter,201,2413,404
iter,201,2177,404
iter,201,2127,404
iter,201,2094,404
iter,201,2050,404
iter,201,2235,404
iter,201,2139,404
iter,201,2057,404
iter,201,2177,404
iter,201,2001,404
iter,201,2030,404
iter,201,2301,404
iter,201,2375,404
iter,201,2119,404
iter,201,2220,404
iter,201,2959,404
iter,201,2261,404
iter,201,2213,404
iter,201,2196,404
iter,201,2250,404
iter,201,2104,404
iter,201,2222,404
iter,201,2061,404
iter,201,2349,404
iter,201,2136,404
iter,201,1954,404
iter,201,2090,404
iter,201,2066,404
iter,201,2290,404
iter,201,2199,404
iter,201,2277,404
iter,201,2164,404
iter,201,2611,404
iter,201,2729,404
iter,201,2305,404
iter,201,2258,404
iter,201,2456,404
iter,201,2175,404
iter,201,2434,404
iter,201,2237,404
iter,201,2368,404
iter,201,2674,404
iter,201,2555,404
iter,201,2614,404
iter,201,2082,404
iter,201,2118,404
iter,201,2541,404
iter,201,2253,404
iter,201,2177,404
iter,201,2411,404
iter,201,2278,404
iter,201,2005,404
iter,201,2524,404
iter,201,2403,404
iter,201,2114,404
iter,221,2047,444
iter,221,2205,444
iter,221,2372,444
iter,221,2070,444
iter,221,1989,444
iter,221,2071,444
iter,221,2236,444
iter,221,2325,444
iter,221,2184,444
iter,221,2407,444
iter,221,2228,444
iter,221,2096,444
iter,221,2060,444
iter,221,2231,444
iter,221,2283,444
iter,221,2204,444
iter,221,2095,444
iter,221,2352,444
iter,221,2195,444
iter,221,2265,444
iter,221,1996,444
iter,221,2135,444
iter,221,2179,444
iter,221,2568,444
iter,221,2277,444
iter,221,2086,444
iter,221,2638,444
iter,221,2196,444
iter,221,2087,444
iter,221,2071,444
iter,221,2009,444
iter,221,2067,444
iter,221,2180,444
iter,221,6476,444
iter,221,2156,444
iter,221,2016,444
iter,221,2131,444
iter,221,2137,444
iter,221,2038,444
iter,221,2619,444
iter,221,2603,444
iter,221,2039,444
iter,221,2215,444
iter,221,2282,444
iter,221,2179,444
iter,221,2178,444
iter,221,2034,444
iter,221,2185,444
iter,221,2208,444
iter,221,2104,444
iter,221,2084,444
iter,221,2309,444
iter,221,2012,444
iter,221,2131,444
iter,221,2401,444
iter,221,2185,444
iter,221,2098,444
iter,221,2169,444
iter,221,2122,444
iter,221,2222,444
iter,221,2159,444
iter,221,2300,444
iter,221,2338,444
iter,221,2120,444
iter,221,2248,444
iter,221,2047,444
iter,221,2327,444
iter,221,2317,444
iter,221,2325,444
iter,221,2385,444
iter,221,2301,444
iter,221,2483,444
iter,221,2449,444
iter,221,2100,444
iter,221,2145,444
iter,221,2167,444
iter,221,2230,444
iter,221,2423,444
iter,221,2389,444
iter,221,2122,444
iter,221,2070,444
iter,221,2398,444
iter,221,2396,444
iter,221,2178,444
iter,221,2230,444
iter,221,2107,444
iter,221,2466,444
iter,221,2370,444
iter,221,2201,444
iter,221,2117,444
iter,221,2117,444
iter,221,2243,444
iter,221,2298,444
iter,221,2048,444
iter,221,2055,444
iter,221,2294,444
iter,221,2086,444
iter,221,2203,444
iter,221,2180,444
iter,221,2095,444
iter,241,2298,484
iter,241,2575,484
iter,241,3391,484
iter,241,2350,484
iter,241,2193,484
iter,241,2346,484
iter,241,2243,484
iter,241,2132,484
iter,241,2202,484
iter,241,2152,484
iter,241,2383,484
iter,241,2170,484
iter,241,2164,484
iter,241,3297,484
iter,241,2349,484
iter,241,2183,484
iter,241,2504,484
iter,241,2532,484
iter,241,2383,484
iter,241,2271,484
iter,241,2230,484
iter,241,2193,484
iter,241,2133,484
iter,241,2246,484
iter,241,2103,484
iter,241,2244,484
iter,241,2225,484
iter,241,2364,484
iter,241,2177,484
iter,241,2310,484
iter,241,2183,484
iter,241,2064,484
iter,241,2217,484
iter,241,2156,484
iter,241,2173,484
iter,241,2480,484
iter,241,2167,484
iter,241,2209,484
iter,241,2344,484
iter,241,2185,484
iter,241,2314,484
iter,241,2327,484
iter,241,2193,484
iter,241,2029,484
iter,241,2270,484
iter,241,2293,484
iter,241,2348,484
iter,241,2260,484
iter,241,2465,484
iter,241,2319,484
iter,241,2425,484
iter,241,2107,484
iter,241,2233,484
iter,241,2146,484
iter,241,2238,484
iter,241,2148,484
iter,241,2313,484
iter,241,2081,484
iter,241,2187,484
iter,241,2006,484
iter,241,2167,484
iter,241,2030,484
iter,241,2207,484
iter,241,2090,484
iter,241,2122,484
iter,241,2250,484
iter,241,2100,484
iter,241,2455,484
iter,241,2256,484
iter,241,2517,484
iter,241,2114,484
iter,241,2168,484
iter,241,2446,484
iter,241,2116,484
iter,241,2058,484
iter,241,2101,484
iter,241,2240,484
iter,241,3661,484
iter,241,2215,484
iter,241,2414,484
iter,241,2648,484
iter,241,2394,484
iter,241,2371,484
iter,241,2460,484
iter,241,2170,484
iter,241,2184,484
iter,241,2407,484
iter,241,2389,484
iter,241,2168,484
iter,241,2195,484
iter,241,2210,484
iter,241,2315,484
iter,241,2255,484
iter,241,2292,484
iter,241,2270,484
iter,241,2072,484
iter,241,2406,484
iter,241,2194,484
iter,241,2303,484
iter,241,2182,484
iter,261,2396,524
iter,261,2261,524
iter,261,2447,524
iter,261,2355,524
iter,261,2305,524
iter,261,2135,524
iter,261,2324,524
iter,261,2197,524
iter,261,2110,524
iter,261,2296,524
iter,261,2454,524
iter,261,2320,524
iter,261,2319,524
iter,261,2218,524
iter,261,2361,524
iter,261,2035,524
iter,261,2161,524
iter,261,2264,524
iter,261,2194,524
iter,261,2792,524
iter,261,3477,524
iter,261,2306,524
iter,261,2187,524
iter,261,2108,524
iter,261,2344,524
iter,261,2223,524
iter,261,2336,524
iter,261,2255,524
iter,261,2265,524
iter,261,2235,524
iter,261,2393,524
iter,261,2200,524
iter,261,2262,524
iter,261,2187,524
iter,261,2205,524
iter,261,2214,524
iter,261,2261,524
iter,261,2411,524
iter,261,2215,524
iter,261,2211,524
iter,261,3528,524
iter,261,2919,524
iter,261,2327,524
iter,261,2750,524
iter,261,2315,524
iter,261,2553,524
iter,261,2329,524
iter,261,2317,524
iter,261,2432,524
iter,261,2281,524
iter,261,2338,524
iter,261,2040,524
iter,261,2338,524
iter,261,2365,524
iter,261,2154,524
iter,261,2213,524
iter,261,2049,524
iter,261,2494,524
iter,261,2300,524
iter,261,2329,524
iter,261,2299,524
iter,261,2284,524
iter,261,2312,524
iter,261,2204,524
iter,261,2200,524
iter,261,2259,524
iter,261,2143,524
iter,261,2208,524
iter,261,2415,524
iter,261,2190,524
iter,261,2237,524
iter,261,2338,524
iter,261,2197,524
iter,261,2736,524
iter,261,3045,524
iter,261,2364,524
iter,261,2338,524
iter,261,2326,524
iter,261,2240,524
iter,261,2264,524
iter,261,2256,524
iter,261,2203,524
iter,261,2300,524
iter,261,2440,524
iter,261,2157,524
iter,261,2283,524
iter,261,2305,524
iter,261,2110,524
iter,261,2789,524
iter,261,2410,524
iter,261,2329,524
iter,261,2449,524
iter,261,2301,524
